Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
122,Damyean Dotson\dotsoda01,SG,26,CLE,30,565,0.401,0.538,0.279,0.475,0.692,0.492,0.132,0.528,86,102,76,88,89,86,53,134,-24.8,-33.3
123,Devon Dotson\dotsode01,PG,21,CHI,1,10,0.5,0.5,,0.5,,0.5,0,0,108,95,,93,,87,,,-0.3,-0.6
124,Sekou Doumbouya\doumbse01,PF,20,DET,31,424,0.343,0.429,0.228,0.392,0.731,0.426,0.194,0.425,74,81,62,73,94,75,78,108,-39,-42.3
125,PJ Dozier\doziepj01,SG,24,DEN,20,385,0.459,0.5,0.396,0.537,0.639,0.559,0.295,0.393,99,95,107,100,82,98,119,100,-0.1,-3.6
126,Goran Dragić\dragigo01,PG,34,MIA,21,565,0.455,0.513,0.362,0.524,0.831,0.568,0.264,0.382,98,97,98,98,107,99,106,97,-6.4,-2
127,Andre Drummond\drumman01,C,27,CLE,25,722,0.474,0.484,0,0.474,0.597,0.5,0.34,0.021,102,92,,88,77,88,136,5,-48.5,-62.4
128,Jared Dudley\dudleja01,PF,35,LAL,11,76,0.286,0,0.4,0.429,,0.429,0,0.714,61,,109,80,,75,,181,-1.5,-2
129,Kevin Durant\duranke01,PF,32,BRK,19,679,0.524,0.565,0.434,0.592,0.869,0.652,0.404,0.315,113,107,118,110,112,114,162,80,39.1,67.6
130,Anthony Edwards\edwaran01,SG,19,MIN,36,1048,0.371,0.42,0.302,0.434,0.805,0.466,0.162,0.419,80,80,82,81,103,81,65,106,-111.2,-121.7
131,Carsen Edwards\edwarca01,SG,22,BOS,14,147,0.46,0.621,0.324,0.548,0.778,0.568,0.143,0.54,99,118,88,102,100,99,57,137,1.3,-0.6
132,CJ Elleby\ellebcj01,SF,20,POR,13,105,0.452,0.75,0.263,0.532,0.667,0.558,0.29,0.613,97,142,71,99,86,98,117,155,-0.3,-1
133,Wayne Ellington\ellinwa01,SG,33,DET,27,612,0.455,0.533,0.434,0.627,0.731,0.637,0.122,0.789,98,101,118,117,94,111,49,200,38,29.4
134,Joel Embiid\embiijo01,C,26,PHI,30,990,0.521,0.541,0.416,0.555,0.856,0.646,0.636,0.163,112,103,113,103,110,113,256,41,19,104.5
135,James Ennis\ennisja01,SF,30,ORL,24,514,0.5,0.534,0.447,0.588,0.786,0.628,0.35,0.392,108,101,121,109,101,110,141,99,12,15.7
136,Drew Eubanks\eubandr01,C,23,SAS,14,168,0.408,0.408,,0.408,0.7,0.467,0.408,0,88,77,,76,90,82,164,,-12.7,-12.1
137,Dante Exum\exumda01,SG,25,CLE,6,116,0.385,0.533,0.182,0.423,0.5,0.428,0.077,0.423,83,101,49,79,64,75,31,107,-5.9,-7.7
138,Tacko Fall\fallta01,C,25,BOS,8,57,0.692,0.692,,0.692,0.375,0.636,0.615,0,149,131,,129,48,111,247,,4,2.1
139,Derrick Favors\favorde01,C,29,UTA,34,550,0.649,0.654,0,0.649,0.789,0.689,0.435,0.008,140,124,,121,101,120,175,2,29.2,36.5
140,Cristiano Felício\feliccr01,C,28,CHI,6,38,0.75,0.75,,0.75,0.625,0.731,2,0,161,142,,140,80,128,804,,1.7,2.4
141,Terrance Ferguson\fergute01,SG,22,PHI,9,34,0.2,0.5,0,0.2,,0.2,0,0.6,43,95,,37,,35,,152,-3.4,-3.7
142,Bruno Fernando\fernabr01,C,22,ATL,18,151,0.44,0.478,0,0.44,0.6,0.49,0.6,0.08,95,91,,82,77,86,241,20,-4.9,-5.1
143,Yogi Ferrell\ferreyo01,PG,27,CLE,2,40,0.381,0.417,0.333,0.452,0,0.434,0.095,0.429,82,79,90,84,,76,38,109,-3.6,-6
144,Dorian Finney-Smith\finnedo01,PF,27,DAL,25,787,0.428,0.59,0.344,0.542,0.833,0.553,0.067,0.661,92,112,93,101,107,97,27,168,1.5,-6.8
145,Malachi Flynn\flynnma01,PG,22,TOR,15,125,0.267,0.368,0.192,0.322,0.667,0.346,0.133,0.578,57,70,52,60,86,61,54,146,-19.4,-21.5
146,Bryn Forbes\forbebr01,SG,27,MIL,35,663,0.473,0.5,0.456,0.615,0.741,0.625,0.105,0.625,102,95,124,114,95,109,42,158,39.8,28.7
147,Trent Forrest\forretr01,PG,22,UTA,7,20,0,0,0,0,1,0.258,0.667,0.667,,,,,128,45,268,169,-3.2,-2.4
148,Evan Fournier\fournev01,SF,28,ORL,21,613,0.45,0.528,0.371,0.543,0.79,0.593,0.372,0.496,97,100,101,101,102,104,150,126,2.9,13.8
149,De'Aaron Fox\foxde01,PG,23,SAC,34,1159,0.466,0.519,0.343,0.517,0.676,0.552,0.368,0.3,100,98,93,96,87,97,148,76,-24.2,-27.1
150,Tim Frazier\fraziti01,PG,30,MEM,3,33,0.25,0.333,0,0.25,,0.25,0,0.25,54,63,,47,,44,,63,-4.6,-5.1
151,Markelle Fultz\fultzma01,PG,22,ORL,8,215,0.394,0.42,0.25,0.413,0.895,0.458,0.183,0.154,85,80,68,77,115,80,73,39,-25.8,-25.5
152,Wenyen Gabriel\gabriwe01,PF,23,NOP,4,12,0,0,0,0,,0,0,0.333,,,,,,,,84,-3.2,-3.4
153,Daniel Gafford\gaffoda01,PF,22,CHI,26,343,0.667,0.667,,0.667,0.667,0.684,0.52,0,143,126,,124,86,120,209,,19.4,20.6
154,Danilo Gallinari\gallida01,PF,32,ATL,24,525,0.391,0.395,0.388,0.505,0.934,0.582,0.367,0.585,84,75,105,94,120,102,148,148,-13.5,5.1
155,Langston Galloway\gallola01,SG,29,PHO,25,262,0.463,0.472,0.457,0.591,1,0.634,0.195,0.561,100,90,124,110,128,111,78,142,8.9,11.2
156,Darius Garland\garlada01,PG,21,CLE,28,922,0.44,0.465,0.384,0.499,0.849,0.524,0.13,0.307,95,88,104,93,109,92,52,78,-31.5,-41
157,Marc Gasol\gasolma01,C,36,LAL,35,703,0.403,0.469,0.365,0.519,0.806,0.561,0.269,0.634,87,89,99,97,104,98,108,161,-5,-3.3
158,Rudy Gay\gayru01,PF,34,SAS,26,572,0.419,0.459,0.366,0.498,0.767,0.524,0.167,0.434,90,87,99,93,99,92,67,110,-20.3,-26.6
159,Paul George\georgpa01,SF,30,LAC,27,904,0.499,0.542,0.45,0.604,0.888,0.642,0.237,0.468,107,103,122,112,114,112,95,119,60.2,70.5
160,Taj Gibson\gibsota01,PF,35,NYK,12,181,0.581,0.667,0.286,0.613,0.583,0.62,0.387,0.226,125,126,78,114,75,108,156,57,4.7,3.5
161,Harry Giles\gilesha01,C,22,POR,22,260,0.419,0.426,0.375,0.444,0.722,0.486,0.29,0.129,90,81,102,83,93,85,117,33,-11.6,-11.9
